id1,id2,name_id,name_brand,name_words,name_cos,name_descriptives,name_units,name_numbers,short_description_id,short_description_brand,short_description_words,short_description_cos,short_description_descriptives,short_description_units,short_description_numbers,all_texts_id,all_texts_brand,all_texts_words,all_texts_cos,all_texts_descriptives,all_texts_units,all_texts_numbers,all_units_list,all_ids_list,all_numbers_list,all_brands_list,specification_key_matches,specification_key_value_matches,match
b000q1pyv8,http://www.google.com/base/feeds/snippets/15310734066191566954,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.9322033898305084,-0.9695627069565406,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000hlp5w0,http://www.google.com/base/feeds/snippets/15030217405491356248,-1.0,0.0,-0.4285714285714286,0.05863409200110614,-0.96,0.0,0.0,-1.0,0.0,-0.6734693877551021,-0.5807837547136638,-0.64,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
b000gh2pa0,http://www.google.com/base/feeds/snippets/18256476812177910363,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000100eg4,http://www.google.com/base/feeds/snippets/18358488810026684849,0.0,0.0,-0.8181818181818181,-0.9734129215868316,-0.96,0.0,0.0,-1.0,-1.0,-0.9075144508670521,-0.9431186276203641,-1.0,0.0,0.7,0,0,0,0,0,0,0,0.0,0.0,0.7777777777777778,0.0,0,0,0
b000o39u3q,http://www.google.com/base/feeds/snippets/18386729116244999637,0.0,0.0,0.894736842105263,0.9530968562056288,-0.64,0.0,0.0,0.0,0.0,-0.5443037974683544,-0.2954978308037316,-0.6,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,0,1
b000kgg6ru,http://www.google.com/base/feeds/snippets/11321467746312760556,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.7647058823529411,-0.8507770669452834,-0.8,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000gkpds8,http://www.google.com/base/feeds/snippets/10129342939991099246,0.0,0.0,-1.0,-0.907900853187862,-0.96,0.0,0.0,0.0,0.0,-0.8596491228070176,-0.9102402613597657,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0001bfdau,http://www.google.com/base/feeds/snippets/17424542970602870488,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000exw510,http://www.google.com/base/feeds/snippets/13439746380265075368,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.8181818181818181,-0.9672462568278031,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000uez42k,http://www.google.com/base/feeds/snippets/13730519642830904382,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0007d8es0,http://www.google.com/base/feeds/snippets/10510400604129253122,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.8235294117647058,-0.9519178744277901,-0.8,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0009xb12o,http://www.google.com/base/feeds/snippets/5973554345704970894,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b00005birs,http://www.google.com/base/feeds/snippets/12440223377432574651,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.9375,-0.9576326674971937,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000rw9md2,http://www.google.com/base/feeds/snippets/14209929007229153860,0.0,0.0,0.0,0.3383148166777108,-0.92,0.0,0.0,0.0,0.0,-0.5844155844155844,-0.2860642676375583,-0.72,0.0,0.7142857142857143,0,0,0,0,0,0,0,0.0,0.0,0.7777777777777778,0.0,0,0,1
b00009nfc1,http://www.google.com/base/feeds/snippets/15910785112023010514,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.7377049180327868,-0.9676109646797307,-0.84,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0007d8esa,http://www.google.com/base/feeds/snippets/1872672479893334805,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.84,-0.9468953261750137,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000nkj29c,http://www.google.com/base/feeds/snippets/14951575456107486059,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.7477477477477478,-0.9111921646215781,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b00001qgvr,http://www.google.com/base/feeds/snippets/7495599847849471345,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.8545454545454545,-0.8550503877010003,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000ezmxcy,http://www.google.com/base/feeds/snippets/17440820469218114890,0.0,0.0,0.7142857142857142,0.8710045297863396,-0.88,0.0,0.0,0.0,-1.0,-0.47058823529411764,-0.09614371790441034,-0.64,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
b000098xiy,http://www.google.com/base/feeds/snippets/10038743045474083285,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000keho1e,http://www.google.com/base/feeds/snippets/18384650377109692103,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.8064516129032258,-0.9712609810281907,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000mz7c36,http://www.google.com/base/feeds/snippets/13418238453666045826,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-0.9731780359642535,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0008ewsf8,http://www.google.com/base/feeds/snippets/18010943695830266377,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.8181818181818181,-0.9481150599423324,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000e8jl7q,http://www.google.com/base/feeds/snippets/4682448981783641744,0.0,0.0,0.19999999999999996,0.7274657472903168,-0.8,0.0,0.0,0.0,0.0,-0.34883720930232553,-0.15760989805549697,-0.6799999999999999,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
b000bi641a,http://www.google.com/base/feeds/snippets/8450146198376587437,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.7435897435897436,-0.9207956630376266,-0.8,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000a2zlam,http://www.google.com/base/feeds/snippets/11369036895201522338,0.0,0.0,-0.5,-0.7763939332066985,-0.96,0.0,0.0,0.0,0.0,-0.7560975609756098,-0.7835266514804797,-0.72,0.0,0.5,0,0,0,0,0,0,0,0.0,0.0,0.6666666666666666,0.0,0,0,0
b000ehpzxq,http://www.google.com/base/feeds/snippets/17843895237236158219,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000bwbu6u,http://www.google.com/base/feeds/snippets/6282886480523973402,-1.0,0.0,0.0,0.18708673690876476,-0.84,0.0,0.0,-1.0,0.0,0.1428571428571428,-0.0033156065867155915,-0.8,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,0,1
b000b6oboo,http://www.google.com/base/feeds/snippets/12418972562708861095,-1.0,0.0,-0.1578947368421053,0.03726407628800121,-0.8,0.0,0.0,-1.0,0.0,-0.7468354430379747,-0.7586637241150527,-0.72,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
