id1,id2,name1,name2,short_description1,short_description2,match_type,match,predicted_match1,predicted_match2,predicted_match3,predicted_match_merged
https://walmart.com/ip/Lysol-Disinfecting-Wipes-Lemon-Lime-Blossom-Flatpack-80-ct-Pack-of-6/660256513,https://www.amazon.com/dp/B09RN9X6K1,Lysol Disinfecting Wipes - Lemon & Lime Blossom Flatpack 80 ct. (Pack of 6),LYSOL Disinfecting Wipes - Lemon & Lime Blossom Flatpack 80 ct. (Pack of 2),Lysol Disinfecting Wipes can be used as a convenient way to clean and disinfect your household surfaces. Lysol is stronger than the competition (vs. leading competitor Ã¢â‚¬â€œ based on lab results). Each pre-moistened disposable wipe kills germs.,"Kills 99.9% of viruses & bacteria, including 8 cold & flu viruses Unique Micro-Pocket Pattern ideal to quickly trap & lift everyday messes Removes allergens",match,1,1,0,0,0
https://walmart.com/ip/8pcs-Flamingo-Pattern-Ice-Cream-Paper-Bowls-Yogurt-Bowls-Ice-Cream-Paper-Bowls-Party-Supplies/1705691905,https://www.amazon.com/dp/B09Y5J2ZJB,8pcs Flamingo Pattern Ice Cream Paper Bowls Yogurt Bowls Ice Cream Paper Bowls Party Supplies,Hemoton 8pcs Paper Ice Cream Cups Dessert Bowls Flamingo Pattern Party Supplies Treat Cups Parfait Appetizer Cups Pudding Portion Cups for Yogurt,"&lt;strong&gt;Description&lt;/strong&gt;&lt;br /&gt;
 &lt;br /&gt;
 Our disposable dessert cups are made of good material for safe to use. The dessert cups are in stylish and classic appearance, very unique, fashionable and portable. Disposable cup is very convenient in use, don't need to clean after use, just throw it away.&lt;br /&gt;
 &lt;br /&gt;
 &lt;strong&gt;Features&lt;/strong&gt;&lt;br /&gt;
 &lt;br /&gt;
 -Color:&amp;nbsp; Assorted Color.&amp;nbsp;&lt;br /&gt;
 -Material: Paper.&amp;nbsp;&lt;br /&gt;
 -Size: About&amp;nbsp;&lt;span&gt;9.50X9.50X5.50cm/&lt;/span&gt;&lt;span&gt;3.73X3.73X2.16inch.&amp;nbsp;&lt;br /&gt;
 -Safe paper material will not cause the softness of the paper bowl.&lt;br /&gt;
 -These paper tableware are widely applicable and convenient to use.&lt;br /&gt;
 -These cups are smooth to the touch, making them great for sipping.&lt;br /&gt;
 -Perfect for snacks, desserts, ice cream, or any other food you want.&lt;br /&gt;
 -These paper tableware are disposable, you can throw them after use.&lt;br /&gt;
 &lt;/span&gt;","Perfect for snacks, desserts, ice cream, or any other food you want. These paper tableware are disposable, you can throw them after use. Safe paper material will not cause the softness of the paper bowl. These cups are smooth to the touch, making them great for sipping. These paper tableware are widely applicable and convenient to use.",match,1,0,1,1,1
https://walmart.com/ip/Arm-Hammer-Moisture-Absorber-Refills-Fragrance-Free-14-oz-2-Pack/1374223626,https://www.amazon.com/dp/B01KYZ13TM,"Arm & Hammer Moisture Absorber Refills Fragrance Free, 14 oz., 2 Pack",Arm & Hammer Fragrance Free Disposable Moisture Absorber and Odor Eliminator 14 oz. Tub,"The Arm & Hammer 2 Pack Moisture Absorber and Odor Eliminator Refills are your solution for continuous cleaner, fresher air. This deodorizer works by attracting and trapping excess moisture to maintain an optimal humidity level. It works as an odor absorber, shoe deodorizer, or room freshener where excess moisture is an issue. Use this multipack one at a time for long lasting freshness or spread them out between the bathroom, laundry room, kitchen or home office. To use these convenient moisture absorber packets, simply pour a refill packet in the moisture absorber canister and close lid. Once the moisture absorbing crystals have dissolved, pour the contents in canister into the toilet and refill. Available in Fragrance Free and Clean Burst scent. Keep out of reach of children","Arm & Hammer Disposable Moisture Absorber and Odor Eliminator attracts and traps excess moisture, eliminating musty odors. This disposable tub is the convenient, effective way to prevent humid stale air from causing unpleasant odors in your home, office or storage space. Ideal for use in closets, laundry rooms, and mud rooms, where excess moisture and stagnant air are a nuisance. This 14-ounce tub offers long lasting freshness for up to 60 Days. Duration will vary based on temperature and humidity. To use, simply remove lid, peel off foil cover leaving white safety cover in place, replace grill lid, and place in area where moisture or stale odor is a problem. Discard once the moisture absorbing crystals have fully dissolved.",close_nonmatch,0,0,0,0,0
https://walmart.com/ip/Bissell-Double-Action-Brush-Roll-for-Select-Upright-Vacuums-1611231/938131313,https://www.amazon.com/dp/B08XJT1CG8,"Bissell Double Action Brush Roll for Select Upright Vacuums, 1611231","Replacement Part For Bissell Gray Brushroll for Bissell 1813, 1819, 1820 Vacuum Cleaner # compare to part 1611230","Brand new Bissell Double Action Brush Roll for Select Upright Vacuums, 1611231. Double Action Brush Roll fits select Upright Vacuum Cleaners including models 1831, 1837, 1834, 1822, 1817, 1813.","compare to part number 1611230 Fits In Models # 14522, 3198A, 3196, 3198, 3197A, 3195, 3197, 22528 Made from quality material to keep you vacuum safe and in working condition all the time. 100% satisfaction guarantee with your purchase. We offer a 30-day money back guarantee. Buyer is responsible for return shipping.",close_nonmatch,0,0,0,0,0
https://walmart.com/ip/BISSELL-MYair-Plus-for-rooms-up-to-100-sq-ft-3179A/786485097,https://www.amazon.com/dp/B093ZDWCQ5,"BISSELL MYair Plus, for rooms up to 100 sq. ft., 3179A","BISSELL MYair Pro Air Purifier with HEPA Filter for Small Room and Home, Quiet Air Cleaner for Allergens, Pets, Dust, Dander, Pollen, Smoke, Hair, Odors, 3139A , White","Enjoy Simply Clean AirÃ¢â€žÂ¢ from a brand you've trusted to clean your floors for nearly 145 years with BISSELLÃ‚Â® MYairÃ‚Â®+ air purifier. With its intuitive controls, getting clean indoor air has never been easier. Air flows up through the bottom of MYairÃ‚Â®+ air purifier and passes through its 3-in-1 HEPA, carbon and pre-filter, which makes capturing unwanted allergens, irritants and odors in your homeÃ¢â‚¬â„¢s air a breeze. MYairÃ‚Â®+ air purifier has three fan speeds that operate at pleasant-sounding levels, the lowest of which is whisper-quiet, so itÃ¢â‚¬â„¢s perfect for bedrooms or nurseries. It also has a unique night light that can be turned on and off or set to low or high, and any brightness in between simply by pressing, holding and releasing at the level you prefer. The compact size and versatility of MYairÃ‚Â®+ air purifier also make it easy to incorporate into any room, and itÃ¢â‚¬â„¢s ideal for purifying those smaller spaces like a home office. And every purchase of this air purifier helps save pets! BISSELL proudly supports BISSELL Pet FoundationÃ‚Â® and its mission to help save homeless pets. WeÃ¢â‚¬â„¢re proud to design products that help make pet messes, odors and pet homelessness disappear.","Every Purchase Saves Pets. BISSELL proudly supports BISSELL Pet Foundation and its mission to help save homeless pets. Small Room Filtration. Perfect for small to medium rooms, including nurseries, bedrooms, offices, and dorms. AHAM Verifide. Filters rooms 110 sq ft providing 4.8 air changes/hour, or one change every 12 minutes. Filters 177 sq ft with three air changes/hour. Filters 266 sq ft with two air changes/hour. Filters 532 sq ft with one air change/hour. Simply Clean Air with 360 Degrees of Filtration. 3-in-1 pre-, HEPA and carbon filter captures large and fine particles, home odors, odors from pets, and VOCs. Medical-Grade HEPA Filter. Effectively captures 99.97% of particles 0.3 microns and smaller when on lowest fan speed, helping to remove airborne irritants like dust, pet dander, pollen, and smoke. Low Energy & Whisper Quiet. Energy Star certified and equipped with three fan speeds, the lowest of them working at a calming 29 dB(A). Adjustable Soft Glow Night Light. Choose from no light, low or high, and any brightness in-between simply by pressing, holding and releasing the button at your desired level. Easy Filter Maintenance. Filter change indicator will tell you when itÃ¢â‚¬â„¢s time for new filters. Filters should be replaced approx. every four months. Use BISSELL Replacement Filters to ensure excellent performance. AMAZON ONLY: Search B09BVZRMPP to find the correct filter for your air purifier.",close_nonmatch,0,1,1,0,1
https://walmart.com/ip/Bounce-Fabric-Softener-Dryer-Sheet-Outdoor-Fresh-2-X-160-Ct/541877401,https://www.amazon.com/dp/B07C6LZ1GZ,Bounce Fabric Softener Dryer Sheet Outdoor Fresh (2 X 160 Ct.),"Bounce Fabric Softener and Dryer Sheets,Outdoor Fresh,60 Count (2 Pack)","Bounce Fabric Softener Dryer Sheet Outdoor Fresh (2 x 160 ct.) keeps laundry smelling fresh and static free, just by tossing a sheet or two in the dryer. These popular dryer sheets are used in homes and businesses across the country that love the way it makes their washables feel and smell.About Bounce Fabric Softener Dryer Sheet Outdoor FreshThis box comes with two packages of Bounce dryer sheets, each of which contain 160 sheets, for a total of 320 dryer sheets. Use one or two sheets when loading laundry into the dryer and discover dry clothing, linens or bedding that is incredibly soft to the touch, wrinkle free and infused with the lasting scent of Outdoor Fresh, which captures the aromas of fresh springtime air. Per Bounces instructions, use one dryer sheet in small to medium loads, two for large and full HE dryer loads and three sheets for extra-large and full HE loads.Who Loves Bounce Fabric Softener Dryer Sheet Outdoor FreshAnyone who loves clean laundry that smells incredibly, doesnt have wrinkles or static and stays fresh for many, many days. Its a staple in homes across the country, as parents love to use it to clean and freshen their clothing, their kids clothing, towels, bedding and other washables around the home. Its also popular with restaurants, hotels and other businesses that wash linens, bedding and towels.What are Some Unique Uses for Bounce Dryer SheetsBounce Outdoor Fresh dryer sheets may be designed for use in the dryer, but there are so many other fun ways to use these fragrant sheets throughout the home! Here are some other ways to enjoy Bounce freshness:Put a sheet or two behind the blades of a box fan (when its off, of course). Every time you run the fan, the incredible Outdoor Fresh smell will fill the room.Place in drawers throughout the home, so a burst of freshness fills the atmosphere when the drawer is opened.Keep sheets in luggage/suitcases to remove mustiness when you open them for the first time between trips.Remove pet hair from sofas and dust from appliances.br>Toss in two Bounce dryer sheets for your average loads to iron less, fight more static, repel more lint and pet hair and add more softness and freshnessFor small and medium loads toss in one Bounce dryer sheet, and for extra-large loads toss in threeContains biodegradable cationic softenersFor use in all types of dryers (HE & Regular)Classic Bounce outdoor fresh scentHelps Reduce Wrinkles so you can iron lessControls static cling in fabrics and helps repel lint and hairSoftens fabrics",TOSS AWAY WRINKLES & STATIC 60 SHEETS PER BOX DRYER SHEETS,match,1,1,1,1,1
https://walmart.com/ip/Clorox-Hideaway-Bowl-Brush-and-Holder-with-Base/432294935,https://www.amazon.com/dp/B00R55CIRQ,Clorox Hideaway Bowl Brush and Holder with Base,"Clorox Under-Rim Toilet Bowl Brush with Corner Storage Caddy, 16"" x 5"" x 5.5""","Clorox takes the work out of cleaning your commode with a brush set that helps you clean faster, easier and better. Our hideaway bowl brush and caddy features a long, comfort grip handle, allowing you to easily scrub those hard to reach places under the rim. What's more, the strong brush bristles that are treated with an antimicrobial material that won't wear off or wear away during use, protecting from bacteria, mold, and mildew. This bowl brush and caddy set features a modern decor designed to discreetly blend in with any bathroom. The brush stores away in a convenient space-saving caddy with a non-slip base. When you use this bowl brush, know you are getting your commode efficiently and effectively clean.","TOILET BOWL BRUSH AND HOLDER SET: Includes an under-rim bowl brush and coordinating caddy for convenient access and discreet storage when not in use UNDER-RIM BRUSH HEAD: Round brush head with durable bristles and under-rim scrubber makes cleaning hard-to-reach areas in the toilet quick and easy CORNER STORAGE CADDY: Freestanding caddy features a non-slip rubber base and space-saving corner design, and the modern style matches any bathroom decor EFFICIENT SIZE: Measures 16"" x 5"" x 5.5"" total, making it ideal for storing next to the toilet",match,1,0,1,1,1
https://walmart.com/ip/Clorox-Hideaway-Bowl-Brush-and-Holder-with-Base/432294935,https://www.amazon.com/dp/B07F4DTH5J,Clorox Hideaway Bowl Brush and Holder with Base,"Clorox Under the Rim Toilet Bowl Brush, Gray","Clorox takes the work out of cleaning your commode with a brush set that helps you clean faster, easier and better. Our hideaway bowl brush and caddy features a long, comfort grip handle, allowing you to easily scrub those hard to reach places under the rim. What's more, the strong brush bristles that are treated with an antimicrobial material that won't wear off or wear away during use, protecting from bacteria, mold, and mildew. This bowl brush and caddy set features a modern decor designed to discreetly blend in with any bathroom. The brush stores away in a convenient space-saving caddy with a non-slip base. When you use this bowl brush, know you are getting your commode efficiently and effectively clean.",,close_nonmatch,0,1,0,0,0
https://walmart.com/ip/Clorox-Pool-and-Spa-XtraBlue-Chlorinating-Tablets-35-lb/207270537,https://www.amazon.com/dp/B00PZZFHDU,Clorox Pool and Spa XtraBlue Chlorinating Tablets 35 lb,"Clorox Pool&Spa XtraBlue 3"" Long Lasting Chlorinating Tablets 35 lb","Clorox Pool&Spa XtraBlue Chlorinating Tablets go the extra mile to help maintain healthy pool water. These multi-functional tablets work hard to keep your water clear from both bacteria and unsightly algae. Each tablet dissolves slowly and contains stabilizer for a long lasting clean. The XtraBlue formula protects your surfaces from scale and corrosion, and includes conditioners that make your water feel silky smooth. Maintaining 1-4 ppm of free chlorine is critical to keeping water clean and suitable for swimming. Always apply chemicals per label directions.",Controls algae Kills bacteria Prevents corrosion and scale Removes organic contaminants for clear water Makes water silky smooth Protected against sunlight to last longer,match,1,0,1,1,1
https://walmart.com/ip/Clorox-Pool-and-Spa-XtraBlue-Chlorinating-Tablets-35-lb/207270537,https://www.amazon.com/dp/B0B86TQ6WX,Clorox Pool and Spa XtraBlue Chlorinating Tablets 35 lb,"Clorox Pool&Spa XtraBlue 3"" Long Lasting Chlorinating Tablets 35 lb & Green Algae Eliminator2 32 oz","Clorox Pool&Spa XtraBlue Chlorinating Tablets go the extra mile to help maintain healthy pool water. These multi-functional tablets work hard to keep your water clear from both bacteria and unsightly algae. Each tablet dissolves slowly and contains stabilizer for a long lasting clean. The XtraBlue formula protects your surfaces from scale and corrosion, and includes conditioners that make your water feel silky smooth. Maintaining 1-4 ppm of free chlorine is critical to keeping water clean and suitable for swimming. Always apply chemicals per label directions.",Product 1: Controls algae Product 1: Kills bacteria Product 1: Prevents corrosion and scale Product 1: Removes organic contaminants for clear water Product 2: Non-foaming formula Product 2: Effective kill and preventative treatment Product 2: Suitable for all pools,close_nonmatch,0,1,0,0,0
