,id1,id2,name_id,name_brand,name_words,name_cos,name_descriptives,name_units,name_numbers,short_description_id,short_description_brand,short_description_words,short_description_cos,short_description_descriptives,short_description_units,short_description_numbers,long_description_cos,long_description_descriptives,long_description_units,long_description_numbers,specification_text_units,specification_text_numbers,all_texts_id,all_texts_brand,all_texts_words,all_texts_cos,all_texts_descriptives,all_texts_units,all_texts_numbers,all_units_list,all_ids_list,all_numbers_list,all_brands_list,specification_key_matches,specification_key_value_matches,hash_similarity,match
757,https://www.alza.cz/hobby6dilna-zahradni-sedaci-souprava-tmave-sede-podusky-bambus-3058198-d6760895.htm,https://www.mall.cz/sety-nabytek/shumee-6dilna-zahradni-sedaci-souprava-tmave-sede-podusky-bambus-100053133572,-1.0,0.0,0.7777777777777777,0.718681624480727,-0.6799999999999999,0.0,0.0,0.0,0.0,-0.7377049180327868,-0.716512465954827,-0.84,0.0,0.0,-0.2042944183382763,-0.4,-0.7142857142857143,0.8823529411764706,0.0,0.0,0,0,0,0,0,0,0,0.8,0.0,0.9,0.0,0.0,0.0,0.0,0
856,https://www.alza.cz/rivacase-5726-chladici-taska-d6331133.htm,https://www.mall.cz/chladici-boxy-aktivni/rivacase-riva-5726-chladici-taska-23-l-100054767863?src=sug&s=RivaCase%205726%20chladící%20taška,1.0,0.0,0.0909090909090908,0.1723405547317753,-0.88,0.0,0.0,0.0,0.0,-0.7538461538461538,-0.7354109957078799,-0.84,0.0,0.0,-0.3485153597594577,-0.24,0.5294117647058824,0.4117647058823529,0.0,0.0,0,0,0,0,0,0,0,0.7272727272727273,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1
1416,https://www.alza.cz/liebherr-cu231-d6318110.htm,https://www.mall.cz/volne-stojici-lednicky/liebherr-cu-231,0.0,0.0,-0.3333333333333333,-0.0489258782049986,-0.88,0.0,0.3333333333333333,0.0,0.0,-0.6781609195402298,-0.8225664077174387,-0.6,0.0,0.0,-0.3667033563860649,-0.52,0.5384615384615384,0.4545454545454545,0.6521739130434783,0.0,0,0,0,0,0,0,0,0.75,0.0,0.6363636363636364,0.0,0.3461538461538461,0.1153846153846153,0.0,1
64,https://www.alza.cz/umidigi-bison?dq=6635656,https://www.mall.cz/mobilni-telefony/webhiddenbrand-umidigi-bison-8-128gb-5000mah-zluta-100074186665,0.0,0.0,-0.5555555555555556,0.3132827659962531,-0.88,0.0,0.0,0.3333333333333332,0.0,-0.4105263157894737,-0.2342704496772296,-0.4,0.6,0.0,-0.382105413184271,-0.52,0.6666666666666666,0.8461538461538461,0.7627118644067796,0.8125,0,0,0,0,0,0,0,0.8214285714285714,0.3333333333333333,0.7419354838709677,0.0,0.2424242424242424,0.0757575757575757,21.4375,0
96,https://www.alza.cz/aligator-r40-extremo?dq=6198980,https://www.mall.cz/mobilni-telefony/aligator-a900-senior-cerveny-stolni-nabijecka?src=sug&s=Aligator%20,0.0,0.0,-0.6363636363636364,-0.7629852629972551,-0.96,0.0,0.0,0.0,0.0,-0.4285714285714286,-0.3882057524670029,-0.48,0.0,0.3333333333333333,-1.0,-1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.9130434782608696,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0
604,https://www.alza.cz/anker-soundcore-life-note-bila-d5752636.htm,https://www.mall.cz/true-wireless-sluchatka/anker-liberty-air-2-cerna,0.0,1.0,-0.6,-0.4902807855800455,-0.96,0.0,0.0,0.0,-1.0,-0.6585365853658536,-0.7468135462986487,-0.6799999999999999,0.0,0.0,-0.3394273228838481,-0.64,0.6551724137931034,0.7575757575757576,0.5384615384615384,0.0,0,0,0,0,0,0,0,0.7959183673469388,0.0,0.7837837837837838,0.3333333333333333,0.3125,0.1875,0.0,0
807,https://www.alza.cz/whirlpool-tdlr-6230ss-eu-n-d5891836.htm,https://www.mall.cz/pracky-horni-plneni/whirlpool-tdlr-6230ss-eu-n-100055818596,1.0,1.0,0.0526315789473683,0.5513978542620928,-0.76,0.0,0.0,-1.0,-1.0,-0.8125,-0.776817431058412,-0.92,0.0,0.0,-0.6543805109099832,-0.76,0.7241379310344828,0.8717948717948718,0.8,0.0,0,0,0,0,0,0,0,0.7333333333333333,0.5,0.851063829787234,0.3333333333333333,0.0555555555555555,0.0,0.0,1
899,https://www.alza.cz/orion-lahev-sklo-clip-uzaver-0-75-l-d6640618.htm,https://www.mall.cz/zavarovaci-sklenice/orion-lahev-sklo-clip-uzaver-075-l-ela-4-ks,0.0,0.0,0.6000000000000001,0.7408031912093969,-0.72,0.3333333333333333,0.0,0.0,0.0,-0.4166666666666666,-0.2140028842687293,-0.64,0.0,0.0,-0.1360598535946935,-0.6,0.2,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0
918,https://www.alza.cz/beko-hte7616x0-d6230535.htm,https://www.mall.cz/pracky-susicka/beko-htv8746xf,0.0,0.0,-0.1999999999999999,-0.4594934613187268,-0.76,0.0,0.6,-1.0,0.0,-0.3707865168539326,-0.4488683255667867,-0.4399999999999999,0.0,0.0,0.0315359021738927,-0.3199999999999999,0.0,0.0,0.5555555555555556,0.0,0,0,0,0,0,0,0,0.8823529411764706,0.0,0.8709677419354839,0.0,0.1739130434782608,0.1304347826086956,0.0,0
587,https://www.alza.cz/sony-true-wireless-wf-1000xm4-cerna-model-2021-d6531227.htm,https://www.mall.cz/true-wireless-sluchatka/sony-wf-1000x-m3-cerna,-1.0,0.0,-0.7142857142857143,-0.4029457617047651,-0.88,0.0,0.0,-1.0,0.0,-0.6831683168316831,-0.7516236754943302,-0.72,0.7142857142857143,0.0,-0.1470173206252385,-0.3199999999999999,0.2903225806451613,0.8666666666666667,0.6363636363636364,0.0,0,0,0,0,0,0,0,0.8775510204081632,0.0,0.8260869565217391,0.0,0.1578947368421052,0.1052631578947368,0.0,0
630,https://www.alza.cz/jabra-evolve2-40-usb-a-ms-mono-d5896208.htm,https://www.mall.cz/dratova-sluchatka/jabra-evolve-40-mono-usbjack-ms,0.0,0.0,-0.1428571428571429,0.3718827753248814,-0.8,0.0,0.0,0.0,0.0,-0.5555555555555556,-0.6062112239644972,-0.56,0.0,0.0,-0.5170351530611945,-0.72,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0909090909090909,0.0,1
169,https://www.alza.cz/petshumee-psi-matrace-cerna-xl-d6747798.htm,https://www.mall.cz/psi-pelisky/shumee-psi-matrace-velikost-xl-cerna-100017944787,0.0,0.0,0.8181818181818181,0.7132716270451469,-0.8,0.0,0.0,0.0,0.0,-0.7377049180327868,-0.7630034396668983,-0.84,0.0,0.0,-0.3347569664701555,-0.56,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.6,0.0,0.0,0.0,0.0,0.0,17.375,1
955,https://www.alza.cz/hobbykusovy-koberec-ariya-425-taupe?dq=6530192,https://www.mall.cz/kusove-koberce/kusovy-koberec-ariya-425-taupe-rozmer-80-x-150-cm-100057375359,0.0,0.0,0.3999999999999999,0.4284510827529619,-0.72,0.0,0.5,0.0,0.0,-0.4838709677419355,-0.3896991319743668,-0.84,0.0,0.0,0.3161340351155823,-0.56,0.1666666666666666,0.7142857142857143,0.0,0.0,0,0,0,0,0,0,0,0.9,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0
