id1,id2,name_id,name_brand,name_words,name_cos,name_descriptives,name_units,name_numbers,short_description_id,short_description_brand,short_description_words,short_description_cos,short_description_descriptives,short_description_units,short_description_numbers,all_texts_id,all_texts_brand,all_texts_words,all_texts_cos,all_texts_descriptives,all_texts_units,all_texts_numbers,all_units_list,all_ids_list,all_numbers_list,all_brands_list,specification_key_matches,specification_key_value_matches,match
b00002cf7w,http://www.google.com/base/feeds/snippets/10995621697768374915,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.6435643564356436,-0.8303094347046005,-0.6799999999999999,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000gsa7wc,http://www.google.com/base/feeds/snippets/11321736152221350531,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.8787878787878788,-0.9818391761533156,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0007l9ecw,http://www.google.com/base/feeds/snippets/13522752516373728128,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.8823529411764706,-0.9779143883951792,-0.96,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000ehpzxq,http://www.google.com/base/feeds/snippets/12339898966206497489,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000na1v8w,http://www.google.com/base/feeds/snippets/18439285252319697866,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.8208955223880597,-0.9270101715229996,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000fngzs8,http://www.google.com/base/feeds/snippets/18396920311637037522,-1.0,0.0,-0.8181818181818181,-0.894687543418877,-0.96,0.0,0.5,-1.0,0.0,-0.7402597402597403,-0.9409156785096484,-0.8,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.0,0,0,0
b000o27qfq,http://www.google.com/base/feeds/snippets/4390089086147371115,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.9272727272727272,-0.5910200786853826,-0.72,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000ivjsb8,http://www.google.com/base/feeds/snippets/17787032142812456248,0.0,0.0,0.7142857142857142,0.6997333058615125,-0.76,0.0,0.0,0.0,0.0,-0.7073170731707317,-0.7758775630554664,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
b000q6zk3a,http://www.google.com/base/feeds/snippets/8179254028288712108,0.3333333333333332,-1.0,-0.75,-0.8026076257472726,-0.96,0.0,0.0,-0.3333333333333333,-1.0,-0.978891820580475,-0.8819075633738429,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.9090909090909092,0.0,0.0,0,0,0
b0007znn48,http://www.google.com/base/feeds/snippets/7744305702477366904,0.0,0.0,0.3333333333333332,0.6028264487833426,-0.88,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
b000m06st0,http://www.google.com/base/feeds/snippets/17527340425408760740,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0008glg1i,http://www.google.com/base/feeds/snippets/14046264883932797509,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b00006ht1c,http://www.google.com/base/feeds/snippets/18354453970523580051,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000h229hi,http://www.google.com/base/feeds/snippets/18068049541638624782,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.8441558441558441,-0.956324126179662,-0.84,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000fzxisg,http://www.google.com/base/feeds/snippets/16849376178618728975,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0007lw23a,http://www.google.com/base/feeds/snippets/11630432614273539055,0.0,0.0,0.5,0.8009250065304865,-0.88,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.925925925925926,0.0,0,0,1
b000ivhlgc,http://www.google.com/base/feeds/snippets/13380511354426794545,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0001wn0li,http://www.google.com/base/feeds/snippets/18379653518269884966,1.0,1.0,0.6000000000000001,0.8414432112048293,-0.8,0.0,0.0,1.0,0.0,-0.4117647058823529,-0.4030417688956885,-0.48,0.0,0.0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0,0,1
b000t9luce,http://www.google.com/base/feeds/snippets/18388359068656820969,1.0,0.0,1.0,1.0000000000000009,-0.76,0.0,0.0,1.0,0.0,-0.7294117647058824,0.1673241296067151,-0.16,0.0,0.0,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.0,0.0,0,0,1
b0008glgea,http://www.google.com/base/feeds/snippets/5588744582758188682,0.0,0.0,0.5,0.4555330863808533,-0.76,0.0,0.0,-1.0,-1.0,-0.7590361445783133,-0.2002806604671242,-0.52,0.0,0.8125,0,0,0,0,0,0,0,0.0,0.0,0.8235294117647058,0.0,0,0,1
b000pijszk,http://www.google.com/base/feeds/snippets/18388960920180955175,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.7681159420289855,-0.9222372387656078,-0.84,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000a76zt8,http://www.google.com/base/feeds/snippets/16245025770098639350,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-0.8801498127340824,-0.8731626764440904,-0.76,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000ndicze,http://www.google.com/base/feeds/snippets/15315731988494931444,0.0,0.0,0.7142857142857142,0.9111909642389636,-0.88,0.0,0.0,-1.0,-1.0,-0.8745644599303136,-0.8750274950471956,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
b000bsfs3k,http://www.google.com/base/feeds/snippets/13072245916448489313,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-0.9130434782608696,-0.9532284984711552,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b0000vmim2,http://www.google.com/base/feeds/snippets/17335686828900761528,1.0,0.0,0.0,0.3031764743585401,-0.92,0.0,0.0,1.0,0.0,-0.4782608695652174,-0.2201757989370961,-0.6,0.0,0.0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0,0,1
b000qv5xqy,http://www.google.com/base/feeds/snippets/1536925525729996443,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-0.7052631578947368,-0.8124122891433965,-0.84,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000gwfgqk,http://www.google.com/base/feeds/snippets/12295157042839457732,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-0.9209876543209876,-0.9001080372036018,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000qxd2tc,http://www.google.com/base/feeds/snippets/7653075580455328736,-1.0,0.0,0.1428571428571428,0.4748339230669807,-0.72,0.0,0.0,0.3333333333333332,-1.0,-0.7301204819277108,-0.113957169069527,-0.4399999999999999,0.0,0.9230769230769232,0,0,0,0,0,0,0,0.0,0.7777777777777778,0.8666666666666667,0.0,0,0,1
b000bdezfw,http://www.google.com/base/feeds/snippets/15849618971016077396,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.8961038961038961,-0.9364576512954428,-0.88,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000qxdj0y,http://www.google.com/base/feeds/snippets/11808064350838387307,0.3333333333333332,0.0,0.3333333333333332,0.4829722782707224,-0.76,0.0,0.0,0.3333333333333332,0.0,0.3333333333333332,-0.1265819236075036,-0.76,0.0,0.0,0,0,0,0,0,0,0,0.0,0.7142857142857143,0.0,0.0,0,0,1
b000ldqs9s,http://www.google.com/base/feeds/snippets/10697092270173066339,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.7303370786516854,-0.9111176317524752,-0.84,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
b000e15nhk,http://www.google.com/base/feeds/snippets/11343247749866294908,0.0,0.0,0.3333333333333332,0.372982062830002,-0.88,0.0,0.0,0.0,0.0,-1.0,-0.9187575105942192,-0.92,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
b0002jtvng,http://www.google.com/base/feeds/snippets/5572182459728876600,0.0,0.0,0.0,0.2818950021672464,-0.84,0.0,0.0,0.0,0.0,-0.2424242424242424,0.3239582084380887,-0.48,0.0,0.5555555555555556,0,0,0,0,0,0,0,0.0,0.0,0.6363636363636364,0.0,0,0,1
b000hhxevi,http://www.google.com/base/feeds/snippets/2710470763365986624,0.0,-1.0,-0.1999999999999999,-0.0552310775178075,-0.88,0.0,0.0,-1.0,-1.0,-0.6428571428571428,-0.7179558183263617,-0.8,0.0,0.0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.0,0,0,1
